 id  , name                     , name_eng                             , IATA , ICAO , lat       , lon        
  77 , 波照間空港               , Hateruma Airport                     , HTR  , HTR  , 24.058333 , 123.803889 
  78 , 伊江島空港               , Iejima Airport                       ,      ,      ,   26.7225 , 127.786944 
  79 , 石垣空港                 , Ishigaki Airport                     , ISG  , ISG  , 24.344722 , 124.186944 
  80 , 慶良間空港               , Kerama Airport                       , KJP  , KJP  , 26.168333 , 127.293333 
  81 , 北大東空港               , Kita-Daito Airport                   , KTD  , KTD  , 25.944722 , 131.326944 
  82 , 南大東空港               , Minami-Daito Airport                 , MMD  , MMD  , 25.846667 , 131.263611 
  83 , 宮古空港                 , Miyako Airport                       , MMY  , ROMY , 24.782778 ,    125.295 
  84 , 与那国空港               , Yonaguni Airport                     , OGN  , OGN  ,   24.4675 , 122.979722 
  85 , 那覇空港                 , Naha Airport                         , OKA  , RJAH , 26.195833 , 127.645833 
  86 , 下地島空港               , Shimojishima Airport                 , SHI  , SHI  , 24.826667 , 125.144722 
  87 , 多良間空港               , Tarama Airport                       , TRA  , TRA  , 24.653889 , 124.675278 
  88 , 久米島空港               , Kumejima Airport                     , UEO  , UEO  , 26.363611 , 126.713889 
  89 , 大館能代空港             , Odate-Noshiro Airport                , ONJ  , RJSR , 40.191944 , 140.371667 
  90 , 新島空港                 , Niijima Airport                      ,      ,      , 34.366111 , 140.021667 
  91 , 神津島空港               , Kouzushima Airport                   ,      ,      , 34.186111 , 139.136667 
  92 , 調布飛行場               , Chofu Airport                        ,      ,      , 35.667222 , 139.532222 
  93 , 岡南飛行場               , Kounan Airport                       ,      ,      , 34.592833 , 133.928519 
  94 , 天草飛行場               , Amakusa Airfield                     ,      , RJDA , 32.480278 , 130.158333 
  95 , 大分県央飛行場           , oitakenou Airfield                   ,      ,      , 33.026111 , 131.505556 
  96 , 小値賀空港               , Ojika Airport                        ,      , RJDO ,   33.1875 ,   129.0925 
  97 , 上五島空港               , Kami-Goto Airport                    ,      ,      ,     33.01 ,     194444 
  98 , 枕崎飛行場               , Makurazaki　Airport                  ,      ,      ,   31.2625 , 130.358611 
  99 , 薩摩硫黄島飛行場         , satsumaioujima Airfield              ,      ,      , 30.780833 , 130.272778 
 100 , 百里場                   , Hyakuri Airbase                      ,      ,      , 36.181111 , 140.415556 
 101 , 静岡空港                 , Shizuoka Airport                     , FSZ  ,      , 34.796111 ,  138.18944 
 102 , 弟子屈飛行場             , Tesikaga Airport                     ,      ,      , 43.479986 , 144.433565 

