BAJYO,375655.32,1391132.43
BALA,353617.65,1395927.81
BALAS,241846.37,1241045.06
BALI,335455.13,1321200.37
BALSA,340211.41,1345452.76
BAMBI,423058.79,1414408.67
BAMBO,341847.75,1325301.79
BABA,423913.36,1431503.63
BAJO,335012.94,1375134.88
BAKU,331739.93,1303302.49
BAA,242946.62,1240410.09
BASU,430358.77,1413832.73
BARBA,325253.07,1312001.15
BASHO,270357.24,1285039.59
BASIL,343055.64,1322540.92
BASI,380715.60,1385631.32
BATAK,333404.28,1335421.34
BATIS,343204.73,1394213.73
BATTL,410318.56,1410400.04
BAUR,360647.00,1421156.00
BAYG,352535.36,1394327.42
BACH,352408.51,1395412.37
BAMS,353533.00,1403153.10
BAST,353620.34,1400834.53
BCKY,335509.01,1343030.63
BBA,432106.67,1414259.79
BBO,222428.00,1531126.00
BTL,341544.87,1294945.29
BGAD,332312.91,1431447.66
BIG,343201.53,1352147.47
BK,380021.13,1420341.96
BS,345004.35,1340919.47
BY,390144.28,1394131.93
BPPO,430348.15,1441701.05
BRRY,341501.96,1345631.59
BRTH,340911.44,1341900.01
BTTY,241220.14,1251803.84
BIBLO,353508.75,1401108.14
BIHOK,345336.99,1330050.35
BIJI,393052.59,1402425.55
BIKA,345119.60,1340323.18
BILLY,333640.09,1373711.38
BIGO,342425.72,1331040.68
BIKS,351116.31,1404356.67
BIRDY,355236.92,1401934.27
BIRK,332142.61,1334717.90
BISI,425154.66,1425543.63
BISIG,210000.00,1251600.00
BISIS,264721.23,1263257.32
BISIV,445931.32,1441658.34
BIWWA,350657.59,1361521.61
BIXAK,275250.18,1330815.22
BIZ,344235.65,1341254.32
BLITZ,350731.88,1402040.40
BLOD,343001.57,1351849.28
BLOOM,352727.17,1401423.60
BLUS,345159.02,1315423.09
BLUSH,343338.15,1352412.08
BCHO,380536.44,1410037.27
BOBOT,332155.40,1374240.29
BOCHU,325600.39,1310225.19
BOKJO,343232.39,1382305.78
BOKSO,424818.74,1422754.65
BOLCY,425528.68,1414410.21
BOLOD,293513.06,1250129.64
BOMAP,300013.16,1294928.07
BODO,353619.28,1400442.48
BOGO,372445.00,1405726.00
BOJI,395913.43,1401752.53
